SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
13580,13552,Gazi University Faculty of Medicine,Gazi University Faculty of Medicine,1.0,Gaziantep,Ankara,0.0,Gaziantep,Ankara,0.0,"SehitkamilIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",BesevlerIc hastaliklari Anabilim Dali Hematoloji Bilim Dali,3.0,27310,06500,0.0,4.0
13581,13552,Gazi University Faculty of Medicine,Gazi University Faculty of Medicine,1.0,Gaziantep,Ankara,1.0,Gaziantep,Ankara,1.0,"SehitkamilIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",BesevlerIc hastaliklari Anabilim Dali Hematoloji Bilim Dali,3.0,27310,06500,1.0,7.0
13582,13582,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,1.0,Gaziantep,Gaziantep,1.0,Gaziantep,Gaziantep,1.0,Universite Bulvari Sehitkamil,Universite Bulvari Sehitkamil,3.0,27310,27310,1.0,7.0
13583,13582,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,1.0,Gaziantep,Gaziantep,1.0,Gaziantep,Gaziantep,1.0,Universite Bulvari Sehitkamil,Universite Bulvari Sehitkamil,3.0,27310,27310,1.0,7.0
13584,13582,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,1.0,Gaziantep,Gaziantep,1.0,Gaziantep,Gaziantep,1.0,Universite Bulvari Sehitkamil,Universite Bulvari Sehitkamil,3.0,27310,27310,1.0,7.0
13585,13582,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,1.0,Gaziantep,Gaziantep,1.0,Gaziantep,Gaziantep,1.0,Universite Bulvari Sehitkamil,Universite Bulvari Sehitkamil,3.0,27310,27310,1.0,7.0
13586,13582,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,1.0,Gaziantep,Gaziantep,1.0,Gaziantep,Gaziantep,1.0,Universite Bulvari Sehitkamil,Universite Bulvari Sehitkamil,3.0,27310,27310,1.0,7.0
13587,13582,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,1.0,Gaziantep,Gaziantep,1.0,Gaziantep,Gaziantep,1.0,Universite Bulvari Sehitkamil,Universite Bulvari Sehitkamil,3.0,27310,27310,1.0,7.0
13588,13582,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,Gaziantep University Medical Faculty Sahinbey Research and Practice Hospital,1.0,Gaziantep,Gaziantep,1.0,Gaziantep,Gaziantep,1.0,Universite Bulvari Sehitkamil,Universite Bulvari Sehitkamil,3.0,27310,27310,1.0,7.0
13589,13589,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,Istanbul Universitesi Istanbul Tip Fakultesi Hastanesi,1.0,Istanbul,Istanbul,1.0,Istanbul,Istanbul,1.0,"Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali","Capa, FatihIc Hastaliklari Anabilim Dali, Hematoloji Bilim Dali",3.0,34093,34093,1.0,7.0
