SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
18907,CDM,PPD,C16014,1-HC48P,,United_States,presbyterian hospital center for cancer research,north carolina,charlotte,28204,,3849,200 hawthorne lane
18909,CDM,PPD,Brigatinib-1002,1-61KU6DG,,United_States,st jude affiliate clinic  novant health hemby childrens hospital,north carolina,charlotte,28204,,3851,301 hawthorne lanepresbyterian blume pediatric hematology  oncology clinicsuite 100
18911,CDM,IQVIA,071102,102,1-2IR6XCD,United_States,st jude affiliate clinic at novant health,charlotte,north carolina,28204,,3853,301 hawthorne lanesuite 100
18913,CDM,PPD,TAK-981-1501,58105,,United_States,levine cancer institute  charlotte,north carolina,charlotte,282040017,,3855,1021 morehead medical dr ste 2200
18917,CDM,PRA,TAK-573-1501,58010-A,1-1OQ66YM,United_States,levine cancer institute  concord,nc,concord,28205,,3859,100 medical park drive northeastsuite 110
18918,CDM,PPD,TAK-079-1005,58506,,United_States,carolinas healthcare system neurosciences instituteneurology,north carolina,charlotte,28207,,3860,1010 edgehill road north
18921,CDM,PPD,SHP647-305,1-YJR8LS,,United_States,charlotte gastroenterology and hepatology pllc,north carolina,charlotte,28207,,3863,2015 randolph roadsuite 208
18933,CDM,PPD,C16014,1-FUPT9,,United_States,piedmont oncology specialists,north carolina,charlotte,28207,,3875,1901 brunswick avenue
18934,CDM,ICON,C25003,,250206,United_States,oncology specialists of charlotte,north carolina,charlotte,282072027,,3876,2711 randolph rd ste 100
18935,CDM,PPD,SHP647-301,1-118W6JD,,United_States,pmg research of charlotte llc,north carolina,charlotte,28209,,3877,1700 abbey place
18937,CDM,PPD,SHP647-301,1-XE0LC9,,United_States,charlotte gastroenterology and hepatology pllc,north carolina,charlotte,28210,,3879,6324 fairview roadsuite 208
18939,CDM,PPD,SHP647-305,1-118W6GS,,United_States,djl clinical research,north carolina,charlotte,28210,,3881,10370 park roadsuite 200
18941,CDM,IQVIA,TAK-101-2001,58034,1-4YNIN27,United_States,javara inc,charlotte,north carolina,28210,,3883,6060 piedmont row drive southfloor 8
18942,CDM,PPD,SHP647-301,1-ZWZ2JY,,United_States,carolina digestive health associates charlottedowntown,north carolina,charlotte,28211,,3884,300 billingsley roadsuite 200
